round_epochs,val_loss,val_mean_absolute_error,val_mean_squared_error,loss,mean_absolute_error,mean_squared_error,first_neuron,activation,optimizer,losses,hidden_layers,batch_size,epochs,dropout,kernel_initializer,lr,last_activation
300,18.049056461879186,4.040356159210205,18.049056461879186,19.546444529980686,4.1562208622957755,19.546444529980686,16,<function relu at 0x7fbcdab15a60>,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x7fbcdab636a8>,1,40,300,0.2,uniform,0.01,linear
50,17.706190041133336,3.9979136330740794,17.706190041133336,19.34191040444163,4.130852011452734,19.34191040444163,2,<function sigmoid at 0x7fbcdab15b70>,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x7fbcdab636a8>,1,10,50,0.001,normal,0.1,linear
50,18.237235477992467,4.063763448170254,18.237235477992467,19.928860588411315,4.200901236154337,19.928860588411315,8,<function relu at 0x7fbcdab15a60>,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x7fbcdab636a8>,0,40,50,0.1,uniform,0.001,linear
500,10.101075734410967,2.8187354717935835,10.101075734410967,0.7824168310096834,0.47792860575481855,0.7824168310096834,8,<function relu at 0x7fbcdab15a60>,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x7fbcdab636a8>,0,10,500,0.001,uniform,0.1,linear
100,18.868107386997767,4.14073760168893,18.868107386997767,20.558853335085168,4.275519147383428,20.558853335085168,16,<function sigmoid at 0x7fbcdab15b70>,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x7fbcdab636a8>,0,40,100,0.001,normal,0.01,linear
100,17.929318836757115,4.025452443531582,17.929318836757115,19.50280280661794,4.1509354810799115,19.50280280661794,2,<function relu at 0x7fbcdab15a60>,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x7fbcdab636a8>,2,40,100,0.001,normal,0.1,linear
20,18.221212318965367,4.061953493527004,18.221212318965367,19.897311539776556,4.197145803839759,19.897311539776556,16,<function relu at 0x7fbcdab15a60>,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x7fbcdab636a8>,0,10,20,0.001,uniform,0.01,linear
300,17.73209490094866,4.0012721334184915,17.73209490094866,19.40400316018974,4.138059839738154,19.40400316018974,4,<function sigmoid at 0x7fbcdab15b70>,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x7fbcdab636a8>,2,40,300,0.001,normal,0.001,linear
100,18.21529688153948,4.06125225339617,18.21529688153948,19.901110201810315,4.197593245886068,19.901110201810315,4,<function relu at 0x7fbcdab15a60>,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x7fbcdab636a8>,0,40,100,0.2,uniform,0.01,linear
100,15.519401379993983,3.713149070739746,15.519401379993983,16.462144256693072,3.7710952716591084,16.462144256693072,4,<function sigmoid at 0x7fbcdab15b70>,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x7fbcdab636a8>,1,10,100,0.001,uniform,0.1,linear
20,18.075348172869003,4.043867639132908,18.075348172869003,19.74978963463707,4.1796524672381645,19.74978963463707,4,<function sigmoid at 0x7fbcdab15b70>,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x7fbcdab636a8>,0,20,20,0.001,uniform,0.1,linear
300,16.828773430415563,3.886704751423427,16.828773430415563,18.47609999327533,4.024237945016506,18.47609999327533,2,<function relu at 0x7fbcdab15a60>,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x7fbcdab636a8>,2,20,300,0.001,uniform,0.1,linear
20,18.216912814549037,4.061599901744297,18.216912814549037,19.899982874372363,4.197460655617503,19.899982874372363,16,<function relu at 0x7fbcdab15a60>,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x7fbcdab636a8>,2,10,20,0.001,normal,0.001,linear
300,15.915283441543579,3.7671217918395996,15.915283441543579,17.28919663893438,3.8759539085151875,17.28919663893438,16,<function sigmoid at 0x7fbcdab15b70>,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x7fbcdab636a8>,1,10,300,0.001,uniform,0.01,linear
100,18.100784710475377,4.047065045152392,18.100784710475377,19.783320747645554,4.183506054160869,19.783320747645554,4,<function sigmoid at 0x7fbcdab15b70>,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x7fbcdab636a8>,0,10,100,0.1,normal,0.001,linear
20,18.22689369746617,4.062651404312679,18.22689369746617,19.909665335596134,4.1987374482956605,19.909665335596134,8,<function relu at 0x7fbcdab15a60>,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x7fbcdab636a8>,1,10,20,0.2,uniform,0.01,linear
